"assessment","assessor","representation.A","representation.B","selected.at","completed","Selected.representation","Select.best.duration","Select.best.SEQ","Select.best.SEQ.duration","total.duration"
"Aantallen Schatten","Observer08",28,24,"2016/12/15 16:55:51",1,28,4,6,5,9
"Aantallen Schatten","Observer02",27,20,"2016/12/21 10:06:30",1,20,11,7,2,13
"Aantallen Schatten","Observer16",22,11,"2017/01/11 11:42:41",1,22,3,3,2,5
"Aantallen Schatten","Observer06",14,15,"2016/12/30 21:38:34",1,15,4,6,2,6
"Aantallen Schatten","Observer13",17,19,"2017/01/11 18:03:57",1,19,29,7,15,44
"Aantallen Schatten","Observer17",13,29,"2017/01/17 15:34:30",1,29,3,3,5,8
"Aantallen Schatten","Observer08",16,10,"2016/12/15 17:02:39",1,16,3,1,3,6
"Aantallen Schatten","Observer13",26,25,"2017/01/11 18:04:31",1,26,9,5,3,12
"Aantallen Schatten","Observer03",21,26,"2016/12/19 17:55:24",1,26,3,1,1,4
"Aantallen Schatten","Observer06",18,28,"2016/12/23 14:03:46",1,28,3,6,2,5
"Aantallen Schatten","Observer17",21,24,"2017/01/17 15:34:08",1,24,12,7,3,15
"Aantallen Schatten","Observer17",18,16,"2017/01/16 15:47:40",1,16,6,5,3,9
"Aantallen Schatten","Observer15",15,23,"2017/01/09 18:55:53",1,23,3,4,3,6
"Aantallen Schatten","Observer03",17,27,"2016/12/19 14:55:36",1,27,3,2,2,5
"Aantallen Schatten","Observer06",12,19,"2017/01/10 09:43:27",1,19,3,1,2,5
"Aantallen Schatten","Observer16",10,25,"2017/01/11 11:42:36",1,25,2,1,2,4
"Aantallen Schatten","Observer11",23,11,"2017/01/03 15:09:10",1,23,4,3,1,5
"Aantallen Schatten","Observer11",13,14,"2017/01/06 12:28:56",1,14,19,6,2,21
"Aantallen Schatten","Observer02",15,29,"2016/12/21 12:47:25",1,29,4,2,2,6
"Aantallen Schatten","Observer11",20,22,"2017/01/03 15:08:02",1,22,5,4,4,9
"Aantallen Schatten","Observer14",22,28,"2017/01/13 17:03:06",1,28,3,4,7,10
"Aantallen Schatten","Observer03",27,21,"2016/12/19 17:42:47",1,27,3,2,1,4
"Aantallen Schatten","Observer14",24,29,"2017/01/13 17:04:14",1,29,4,6,1,5
"Aantallen Schatten","Observer08",13,25,"2016/12/15 17:05:45",1,25,3,1,2,5
"Aantallen Schatten","Observer15",12,26,"2017/01/09 18:19:38",1,26,7,2,15,22
"Aantallen Schatten","Observer06",19,20,"2016/12/23 14:03:26",1,20,5,7,1,6
"Aantallen Schatten","Observer07",17,18,"2017/01/02 15:36:23",1,17,8,5,5,13
"Aantallen Schatten","Observer14",10,11,"2017/01/13 17:16:45",1,10,6,6,2,8
"Aantallen Schatten","Observer14",14,16,"2017/01/13 17:10:33",1,16,5,6,1,6
